text,sentiment
Menteri aja pesanan dan orang2 partai. Anggota dpr aja ada yg tamatan SD doang. Presiden sekarang udah 4x gagal baru terpilih. Mau harap apa dari konoha,negative
UMR Indonesia gak ngotak. Negara lain 20jt Indonesia 3.5jt. Biadab,negative
"Kenapa rupiah terus inflasi selama bertahun tahun ?
karena setiap hari kita mengadaikan rupiah ke dollar untuk beli minyak dan Gas selama puluhan tahun kemudian dibakar, kan bego ..",negative
konten mahal isi daging yang pejabat kita gabisa jelasin,negative
"Baru sampe detik 50 sy sudah ada kesimpulan, g ada harapan.... selebihnya cuma konfirmasi, ternyata indo (at least rezim wowo dan wiwi) memang g akan pernah bisa mencapai hal itu..",negative
"kalian pilih mana? Dolar = Rp 7000 tapi UMR $20 atau dolar = Rp 17000 tapi UMR $200

Tahun 1999 UMR rata rata nasional naik dari Rp 150rb ke Rp 180rb, kenaikan rupiah mendongkrak UMR saat itu dari $16 ke $23 per bulan

Tapi kalau dibanding UMR sekarang itu tidak seberapa

Karena UMR rata rata nasional 2025 adalah $200 , hampir 10 kali lipat tahun 1999

Kita selalu melihat turunnya dolar pada tahun 1999 sebagai sesuatu yg luar biasa dibanding saat ini

tapi kita lupa bahwa kenaikan gaji kita dibanding 1999 sebanarnya jauh lebih luar biasa

Jadi lebih baik kita bersyukur daya beli kita naik walaupun rupiah turun, karena itu jauh lebih penting",neutral
"INDON Valas setahu saya pajaknya ditanggung pemerintah. Memang kalau Obligasi IDR ada potongan pajak kupon 10%, tapi kalau INDON Valas tidak ada. CMIIW.",neutral
"Pemerintah masi memandang  pasar saham tempatnya orang kaya .... pandangan sesat sekali
1. Pasar saham = etalase ekonomi negara jika buram apalagi retak investor kabur  apalagi asing.
2. Retakan sekarang mulai merembet ke industri besar (penebangan,),  UKM (nelayan, RM dll).
3. Pasar modal sudah menjadi  tempat usaha investor  retail  nyambi  dagang, kerja, ngojek nunggu  lamaan kerja
tolong Pemerintah jangan pakai narasi  basi (fundamental ekonomi kuat  dll)  tapi  selesaikan  MBG, Kopdes MP, subsidi tidak tepat sasaran, 
4. Menkeu dan Presiden  tolong irit  biciara  selesaikan saja masalah  no.3  inshaAllah pasar bereaksi positif
tks  bro Leo  ...  teruslah bersuara",negative
"Leon, coba pelajari bagaimana pak Habibie bisa menurunkan USD. Yang dia kerjakan waktu itu adalah:
1. Membuka kebebasan pers utk transparansi
2. Memperbaiki sistem perbankan yang amburadul dan korup dengan mendirikan BPPN dan pembentukan Bank Mandiri (dimana Bank Mandiri mengadopsi sistemnya Deutsh Bank)
3. Merestukturisasi hutang luar negeri perusahaan2 di Indonesia yang waktu itu marak berhutang USD, lewat  badan namanya INDRA
4. Kolaborasi dgn  IMF 
DLL

Coba bandingkan dengan keadaan kita sekarang:
1. Penyiraman air keras terhadap pengkritik dan sikap2 anti kritik pemerintah lewat pidato2 Presiden
2. Tidak ada perbaikan di area2 korupsi dan penegakan hukum yang serampangan 
3. Kesulitan merestrukturisasi hutang2 dalam USD karna yang terbesar justru hutang2 pemerintah akibat proyek2 yang bekerjasama dgn pihak luar (misal hutang proyek kreta cepat Jkt Bandung)
4. Menutup diri thd pihak asing sewaktu diperlukan (contoh waktu bencana banjir di Sumatera)",negative
"GRafik kurs yang bagus jaman SBY setelahnya, naik2 kepuncak gunung...",negative
Ringgit menguat. IDR selalu melemah dari 2013,neutral
"Ini karena interen bro rakyat diperas hasil nya mereka pindah kan keluar negeri oleh penguasa juga orang"" yang punya duit...mereka bukan berpikir untuk kemakmuran rakyat, berpikir mereka yg penting mereka aman masalah rakyat sengsara itu cukup diberi BLT selesai otak mereka memang otak penjajah....",negative
Hukum harus ditegakkan tanpa pandang bulu maka akan bedampak sangat baik pada semua sektor,neutral
"Soeharto said, ""enak jamanku tooh?""",negative
"Sesuai ramalan Pdt Daud Tony nanti bln Juni :
- stagflasi dimana inflasi dan deflasi bertemu dlm 1 titik
- bln Juni jatuh tempo pembayaran hutang negara

Akibatnya effek ke pelemahan rupiah bakal berlanjut.",neutral
Cara untuk melemahkan negara intoleran dan pendukung organisasi teroris adalah cukup goyangkan nilai mata uangnya seperti Iran !,negative
Yg getol banget pengen GANTI REZIM . Sepertinya perlu di cek lg. Jgn sampai mereka ada di barisan yg lg di bersihkan atau yg selama ini menggerogoti indonesia.,negative
"presiden yg satu dunia nga dipercayai,,,sekali dibuka mulut rupiah tambah anjlok,data 5.61 persen itu oplosan,,,mentri dan ponakannya juga nga kompetan buat  kerja,,,bila sesuatu yg nga benar /org yg nga layak diberikn jabatan maka tunggulah kehancuran,,",negative
Anak nya malu 😅😅 gak sigh bapak nya kayak gitu ...,negative
Inti nya suku bunga BI mesti stay di 6.25-7.25% kalau mau rupiah stabil di 3% loss per year,neutral
are we cooked ?,neutral
Pemimpinnya harus ganti,negative
Korupsi,negative
Makin teriak isteris menunjukkan ketidak mampuan memimpin,negative
Kalau sampai dua puluh ribu per dolar  Prabowo mundur,negative
"Bila kita lihat grafik USDIDR setelah krisis 98, maka pada dasarnya rupiah bisa dibilang stabil hingga masa SBY berakhir, ada lonjakan2 tapi kemudian rupiah kembali ke harga awal, coba lihat grafiknya ujung2nya horizontal. Grafik mulai menukik tajam tanpa pernah turun lagi sejak 2014, yaitu sejak jokowi berkuasa hingga sekarang. Di masa jokowi proyek ugal2an bernilai triliunan yg tdk produktif dimulai, mulai jalan tol, kereta cepat, mandalika hingga IKN, semua adalah proyek besar.. tol saya blg juga tdk produktif krn tarif tol sangat mahal, lah kalo tarif tolnya mahal sama saja dgn jalan biasa artinya itu hanya menguntungkan para pengusaha tol (sebagian saham tol transjawa di kuasai swasta). Semua proyek jokowi hanya menguntungkan oligarki dan ego wong solo. Ini akibatnya bila orang bodoh diberikan kekuasaan tertinggi, dia jadi gila krn itu semua aturan ditrabas... org melihat dia sebagai sosok yg pintar namun pada dasarnya dia org yg gila.",negative
"KALO MENURUT AKU PRIBADI 
PENGUSAHA SITUS JUDI ONLINE = DAPAT KEUNTUNGAN RUPIAH DARI 2 JUTA BAHKAN LEBIH USER/PLAYERS YG BERASAL DARI PENDUDUK INDONESIA = PENGUSAHA SITUS JUDI ONLINE MENUKAR RUPIAH MENJADI DOLLAR BUAT JADI ASET 😅😅😅😅😅😅

JANGAN TERLALU JAUH ANALISIS   KEMUNGKINAN TERJADINYA PAK NANTI TERSESAT BAHKAN BI TIDK AKAN BISA MEMPREDIKSI TERKAIT HAL INI 😅😅😅",negative
"Coba bandinginnya dengan SGD. Pasti korelasi nya sama, karena banyak pengkhianat bangsa yg massif menggadai rupiah dengan SGD.",negative
Bowo suruh mundur,negative
siluman babi sialan.,negative
"Indonesia kalau di pimpin staff nya oleh Indo Chinese aku yakin maju, mindset mereka beda. Sorry to said tapi itu reality.",neutral
"Ujungnya Nawarin Investasi di aplikasi Makmur,,, Hadehhhh 🙆‍♀",negative
Thank you ko Leon. Earth bless u,negative
"Banyak penghianat bangsa depan presiden iya iya aja padahal dalem atinya dongkol. 
Karena kepentingan nya terganggu. 
Pemerintah lagi banyak musuh nya karena
1. Mafia pangan yg terganggu. Sekarang
2. Masuk ke cpo dan mineral. Belum lagi dari dalem 
3.bea cukai, pajak
4. Oligarki lokal dan global yg terganggu. 

Nah orang orang cerdas pinter S1S2S3 jangan cuma kritik tanpa solusi cuma bikin noise doang. Gimana lah caranya agar kalian bisa duduk bareng atasi masalah bangsa. 


2",neutral
"SGD SGD UP TERUS 
JD INGET KATA2 BENNIX",negative
Para pejabatnya penjahat semua,negative
dari penjelasan video ini nilai dolar US sebelumnya stabil tetapi setalah 2014 nilai dollar US naik tidak terbendung. Artinya silakan ditebak sendiri,neutral
"STOP MBG, STOP KOPDES MERAH PUTIH, TURUNIN PR*BOW SKALIAN..!!!!!!!!!!  ☣️☢️☠️⚠️",negative
Pesan ko leon adalah 'RASA TAKUT TAKAN MEMANJANGKAN UMURMU',neutral
Sayangnya pemangku kepentingan 7 + 3 = 12 : 4=  5😂,negative
"Kalau Bro Leon memang yakin dengqn penjelasan kenapa mata uang melemah dan menguat secara pasti. Bro leon tidak akan membuat podcast bisnis lagi, anda akan sangat kaya sampai akhir hayat dengan Trading mata uang forex menggunakan leverage.",negative
BI sudah naikin suku bunga 0'5% lhoo,neutral
"kerana melemahnya berpanjagan dan berterusan, maka iayanya biasa-biasa aja.. seperti Experimen Katak di rebus pelan-pelan tidak terasa panas tiba-tiba mati.",negative
"presiden Habibie sang pencipta teknologi pesawat terbang membuat rupiah menguat terhadap dollar 
presiden Wowo sang pencipta import teknologi pesawat tempur membuat rupiah lemah terhadap dolar+ IHSG ambruk+ rakyat Indonesia maluuu dengan statement pidatonya...jangan pindah ke NTT daerah belu transaksi jual beli pake dollar AS",negative
"Serasa kuliah, thanks ko ilmunya! Sering2 bikin konten gini 🙏🏼",negative
SAHKAN RUU PERASAAN ASET biar jera tuh koruptor,neutral
makasih Ko Leon,negative
Bubarkan utusan2 khusus dan jabatan wamen. Kalau mau efisien,neutral
Kalau emas cocok tidak kak untuk melindungi nilai aset kita?,neutral
"Saya hidup didesa, saya kalau belanja pakai daun😂",negative
Ringgit Kukuh mnakala Rupiah lemah ..Bgitulah jika negara dipimpin oleh org bodoh..Syukur jadi rkyat Malaysia ..,negative
Kami selalu berdoa utk kebaikan negri ini ayooo rakyat semua satukan tangan utk melawan mereka yg jahat jgn sampe terulang peristiwa 98 jgn sampai jatuh ke lubang yg sama kita pasti BISAA kita pasti KUAT hidup INDONESIA hidup pa PRABOWO GIBRAN hidup rakyat INDONESIA 💪💪💪💪💪💪 kini saatnya menunjukan kepada dunia siapa sebenarnya INDINESIA kami bangsa besar kami bangsa kuat💪💪💪💪💪,positive
Makin suram sih...pengamat kasi saran tapi bebal.. begitulah orang dungu.. bodoh di habisin sendiri.. investor jg menghindari klo tidak ada kepastian di sawitzerland,negative
"Om semoga baca pesan ini, kalo boleh di upgrade mic nya om, sangat kasar banget dan berpasir, banyak mic proper dan nyaman kalo di dengar, saya penonton setia jadi ga betah kalo pake TWS atau headset, jauh banget kalo abis nonton dari ferry irwandi dan astronacci, halus banget suara videonya dan ga berpasir kaya gini",neutral
"leon cuman bisa ""misalnya""-""misalnya"" terus dari awal sampai akhir, gak bisa eksekusi secara nyata (ini cuma joke ya)

but nice video sih, bisa jelasin pakai data dan fakta juga",negative
bkn cmn dollar yg menguat tpi emng rupiahnya aja yg ampass,negative
"memang udah benar jalan gw..
dari tahun 2017 gw selalu invest di saham2 USA dan tak pernah di IHSG.
dan stiap cuan yg gw dapat langsung gw simpan dalam bentuk US dolar dari tahun 2017.",positive
"kepastian hukum? liat tuh bos djarum yg dapet penghargaan wajib pajak teladan. Begitu dia nolak setor ke ""you know who"", langsung jadi pesakitan. Pegimana loe yg bukan wajib pajak teladan.",negative
"bos indon ngak kena pajak lagi bos .. beda sama FR .. indon pajak ditanggung gov .. jadi pure , problemnya cuma indon itu kalo dalam USD begitu idr turun banyak itu indon turun lagi",neutral
"Gila inflasi 30% dlm setahun bisa kaya raya jika dpt bunga kaya gitu, gaji aja ngak naik 2% setahun aja berat, yah  pantes memang inflasi dlm negara sendiri biangkeroknya. Yah 2026 lebih parah secara ekonominya tapi politik ngak sama kaya 98 krn pakar koruptor sdh 100% bersatu ambil langkah lebih baik dengan cara korupsi resmi tanpa diganggu rakyat..😂😂😂,.. cek sendiri program pemerintah apa benar berpihak ke rakyat atau  kita sdh tauh semua.. wkwkwkwkw",negative
hari ini 17.8 koh Leon... kayaknya bakalan ada videonya trus nich sampe 20.0,negative
pejabat kita terlalubodoh untuk memahami ini bang leon...,negative
"Literasi yang sangat BAIK & PRAKTIS, Koh... Tks 👍🙏",negative
intinya : kesejahteraan bangsa TERGANTUNG dari MORALITAS para pemimpin dan para pejabat negara,neutral
"panggil hengky dulu, mau denger dia soal Saham Sini, wkwkwkwkwkwkwkwkw",negative
Apa yg mau diharapkan sama pemimpin yg gak kompeten,negative
"pertanyaan apakah memang sengaja dilemahkan dengan tujuan strategis pemerintah ? walau negara lain juga terdampak oleh dolar us, tapi rasa2 nya turunnya nominal rupiah tidak seperti negara lain (kalo itu mau di bandingkan). tapi apa tujuannya ?",neutral
"Thank you, Leon untuk insightnya! 
Podcast ini selalu menawarkan alternatif solusi -growth mindset. Like.. yeah we're fucked up. Now what? Dan langsung bedah masalah dan menawarkan solusi. 
We're in this together...! 🤝Xie xieeeee!!!
Wowo n gank gak diajak tapi 😝",neutral
"Kepercayaan gue ke program pemerintah sndri rendah skrg
Terkahir gue beli Obligasi pemerintah saat jaman jokowi
Era prabowo sama skli belum pernah beli lagi.

1. Gue lebih bisa ngitung multiplier efek dari pembangunan infrastruktur yang masih perputaran uangnya akan gimana dan negara akan dapat peningkatan uang seperti apa. Dan jujur aja nilai asetku berkembang banget di era ini karena ekonomi di bawah tidak terkonsentrasi ke 1 sektor karena yg kena multiplier atau penerima manfaatnya inderict banyak. Alhasil penerimaan pajak peniliaan ku akan naik, dan disitu gue tau utang yg gue kasih uangnya bisa dikembaliin gimana karena golongan menengahnya naik dan punya uang. 
2. Era prabowo sekarang semuanya terkonsentrasi perputaran uangnya dan penghentian banyak infrastruktur strategis plannya, uang yg sangat besar itu cuma ada di sektor fnb dengan mbgnya sektor diluar itu agak susah untuk dapet cipratan manfaatnya, uang besar itu cuma ada di sektor alutsista yang bahkan bukan untuk rnd dalam negri tapi langsung di setor ke luar negri sekli lagi gda manfaat yang bisa dirasakan indirect diluar sektor itu. Dan ada lagi kopdes yang malah coba matiin alfamart dan indomaret yg malah makin matiin yg industri yang udah jalan. Dll semua programnya terkesan grande tapi uang dan penerima manfaat indirect nya terkonstrasi. Gue gtw gimana cara uang gue dibalikin kalau gue beli obligasinya, bahkan klo ini perusahaan pun gue juga ragu kasih utang klo sumber uang mereka dan spending mereka terlalu terkonsentrasi di beberapa titik saja dalam kategori ekstrim.",negative
"makasih ko Leon, sehat selalu, GBU",negative
PRABOWO ITU SURUH DIAM SAJALAH...!!!! OMONGAN KELAS BOCAH SOK JADI PRESIDEN...!!,negative
Andry Hakim mana bro,neutral
Bro Leon lo benar kasih paham publik tapi masalanya bagi kita rakyat jelantah krocomumet ini gaji tidak naik maka ancamanya selalu PHK 2 terus itulah yang bikin kita ngamuk mendadak nanti,negative
"Thanks, GBU! Gw pribadi usd di kripto terus earn fleksible ko :D",neutral
"Setelah ini pasti bermunculan survey survey Kepercayaan rakyat kepada pemerintah 99,9% wkwkw",negative
"eMBeGeeeeeeeeeeeee...... 
Hidup jokowiiiiiii...! 
Hanya itu dipikirannya... 
Masih lebih hebat ketua kelas gua dulu masih TK",negative
"orang indonesia banyak yg pinter, tapi yg duduk di pemerintahan pada tolol semua . kocak .",negative
"MERDEKA itu artinya BEBAS dari PENJAJAHAN/PENINDASAN dari negara lain (Jepang, dll) atau PENGUSAHA/INVESTOR (VOC, dll)

Adapun MODAL AWAL untuk mewujudkan KEMERDEKAAN Indonesia itu adlh dg MERAMPAS Pabrik2 atau Perusahaan2 milik PENJAJAH (pengusaha/investor), yg 

bila Pabrik2 atau Perusahaan yg sahamnya 100% dimiliki oleh NEGARA (RAKYAT) itu terus diperbanyak, maka

KETERGANTUNGAN pd PENGUSAHA/INVESTOR akan semakin berkurang, sehingga NEGARA (RAKYAT) RI tdk lagi bergantung pd PENGUSAHA/INVESTOR dlm MENGURANGI jmlh PENGANGGURAN, KEMISKINAN, dll
Ma'af jika saya salah. Rahayu...Rahayu....Rahayu",neutral
"Long story short, jadi intinya tuker Rp kita ke dollar? Makin banyak sell offnya? 

Great insight untuk cari usaha lokal yang omzetnya dollar. But Any other thoughts untuk tetep jaga dalam ekosistem indonesia?",neutral
"Cara penjelasan dan komunikasi yang bagus. Bisa jadi jalan tengah utk mendapatkan informasi berdasarkan data. Dibandingkan melihat berita/social media yang hanya menghighlight sisi positif atau negatif secara berlebihan.

Kalau gaya komunikasi pemerintahan kita seperti ini, mungkin rakyatnya juga bisa lebih tenang.",positive
Makasih ilmunya koh.,negative
Sedunia mengalami krisis yg sama. Tapi cmn indo disekitar ASEAN yg jatohnya segininya dgn potensi dalam negeri dan sumber daya yg ada jauh lebih daeri negara tetangga lain. Ya artinya murni kebodohan pemerintahannya,negative
gak ada kebijakan yg gk ad efek negatifnya. semua ada tradeoff jgn terlalu idealis,neutral
pasti   salah  asing asenk  ahok aguan  soros,negative
pemimpin bobrok,negative
"Itu  urusan peme rintah 
Urusan loe  jaga  value kekayaan loe ,
Sebelum   kemakan devaluasi , dan inflasi  !!

Beli  valas atau emas 
Cepetan  bro !!",neutral
"Ijin koreksi ko Leon, untuk INDON/INDOIS tidak dikenakan pajak karena pajak ditanggung oleh pemerintah.",negative
"gimana mau menguat rupiah, wong presiden nya aja gak peduli. kan rakyat desa gak pake dolar. santai aja pasti usdidr naik.",negative
"""USD melemah terhadap Advance/Emerging market, IDR melemah terhadap USD"" :D",neutral
"solusinya ekonom2 perlu di kasih MBeGe, supaya analisanya bisa positif 🤣",negative
Dari 2011 new normalnya melemah terus. Parah ni negara. Gimana mau cinta rupiah kalau nilai tukarnya buruk begini,negative
"mann, so hopeless lah ya",negative
Kocak opo koclok,neutral
"bertahun tahun ngebet amat jadi presiden, sekalinya jadi langsung mencret",negative
"Untung gua nimbun dollar di paypal mukai 5 tahun lalu waktu masih kurs 14ribuan dan belum gua cairkan
Hasil transaksi sama orang asing, mayan lah",neutral
"Dgn kata kain negara lain lagi pesta karena dollar melemah, tpi indo menangis karena pemerintah gk paham peluang 😅",negative
"Thank You Bro Leon...
krna pengajaran yg super sederhana by compare, by data, by grafik & by year to year...
hari demi hari saya semakin terbuka matanya ke depan harus bagaimana untuk berkembang & bertumbuh dlm bidang saya + semakin mengerti perputaran mata uang di setiap negara...

semakin menjadi terang & garam Bro Leon
GOD BLESS U & FAM...",positive
